country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,saturated_fatty_acids_policy,trans_fatty_acids_policy,population_2020,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,animal_products_fat_supply,vegetal_products_fat_supply,sugar_sweeteners_fat_supply,Risk_factor_obese_2018,Risk_factor_all-rf_2018
Afghanistan,65.7,98.1,103.8,31.2,41.5,3.2,91.1,10.7,Yes,No,No,No,No,38928.34,2459.23,4.79,21.33,17.3,30.45,37.07,55.9,0.0,1357.0,10941.33
Angola,119.7,308.8,37.8,11.6,57.6,38.0,65.8,16.8,Yes,No,No,Don't know,Don't know,32866.27,7647.41,7.17,25.51,14.16,29.88,29.29,68.42,0.0,1064.67,4260.0
Albania,138.9,129.1,40.2,12.3,31.2,18.3,404.9,61.6,Yes,No,No,No,No,2877.8,12657.3,20.21,55.94,1.44,29.45,60.58,34.75,0.0,749.0,3001.67
Andorra,,,,,,,,,No,No,No,No,No,,55834.76,25.06,63.1,1.07,19.61,0.0,0.0,0.0,,
United Arab Emirates,107.6,123.3,40.6,31.7,37.2,40.5,428.4,29.6,Yes,Yes,Yes,Yes,Yes,9890.4,66279.79,32.76,67.35,2.11,21.12,38.88,55.29,0.0,1085.83,2374.67
Argentina,94.0,123.8,3.6,1.6,10.8,11.6,519.1,86.7,Yes,Yes,Yes,Yes,Yes,45195.78,22992.22,26.9,61.5,0.97,23.3,57.4,38.72,0.0,10786.67,30078.5
Armenia,91.2,95.9,14.7,18.9,23.3,47.9,403.7,62.4,Yes,No,No,No,Yes,2963.23,11557.68,18.9,53.0,2.84,25.56,53.07,37.9,0.0,1030.83,4160.33
Antigua and Barbuda,95.5,232.1,43.5,2.5,14.3,46.5,223.8,36.3,No,No,No,No,No,97.93,19179.26,17.59,46.39,4.96,23.15,50.73,42.8,0.0,18.33,54.17
Australia,131.9,116.8,23.2,7.4,64.9,28.6,666.3,61.6,Yes,No,Yes,Yes,No,25499.88,49038.71,27.56,63.35,1.24,16.06,43.62,50.58,0.0,4862.67,13279.67
Austria,105.7,118.4,6.4,5.4,29.2,21.1,558.7,106.2,Yes,No,Yes,Yes,Yes,9006.4,53927.94,19.03,53.29,1.94,21.89,42.8,43.55,0.0,1972.83,8505.33
Azerbaijan,104.8,77.7,14.6,32.7,46.9,22.3,454.1,99.3,Yes,No,Yes,Yes,Yes,10139.17,14345.73,18.3,51.8,2.48,24.59,56.43,33.55,0.0,3094.83,11308.67
Burundi,73.8,186.8,40.5,6.5,33.1,32.8,29.8,11.8,Yes,Yes,No,No,No,11890.78,798.25,4.73,20.7,13.28,28.72,0.0,0.0,0.0,265.83,2074.0
Belgium,103.9,113.2,4.5,3.4,66.1,19.7,767.5,57.4,No,Yes,Yes,Yes,Yes,11589.62,49848.48,21.19,58.77,1.14,18.08,40.85,45.97,0.0,2540.0,8510.33
Benin,74.8,99.1,24.7,13.0,33.6,22.2,54.3,16.5,Yes,Yes,No,No,No,12123.2,3039.7,8.57,27.73,10.1,28.1,11.87,83.47,0.0,503.33,2471.0
Burkina Faso,34.8,27.0,9.1,21.8,59.4,28.8,36.8,2.7,Yes,No,No,No,No,20903.28,2004.17,4.65,21.06,12.31,32.39,13.88,85.29,0.0,549.67,4515.0
Bangladesh,54.7,225.0,28.9,0.7,35.3,41.6,45.3,8.1,Yes,Yes,No,No,No,164689.38,4236.27,3.12,18.54,22.57,24.99,18.45,78.66,0.0,3928.33,64319.17
Bulgaria,95.9,399.2,18.1,11.5,25.8,22.7,1337.9,73.3,Yes,No,Yes,Yes,Yes,6948.45,20669.9,23.8,60.49,1.28,28.84,46.26,44.59,0.0,4784.67,15194.5
Bahrain,119.8,185.2,38.7,21.5,16.0,35.6,411.9,42.3,Yes,Yes,Yes,Yes,Yes,1701.58,48405.7,29.94,64.95,3.31,21.63,0.0,0.0,0.0,228.83,466.33
Bahamas,83.7,105.6,17.9,9.9,36.7,21.2,304.6,53.5,No,No,No,No,No,393.25,36124.69,29.94,62.86,2.62,21.71,55.89,37.55,0.0,100.83,220.67
Bosnia and Herzegovina,499.9,443.6,14.0,8.8,45.7,10.4,710.5,150.5,Yes,No,Yes,No,No,3280.82,13198.69,16.81,52.04,1.65,30.73,46.85,44.99,0.0,1260.33,3827.83
Belarus,246.3,87.0,75.8,10.9,35.7,21.5,463.9,61.9,Yes,No,Yes,Yes,Yes,9449.32,18766.01,23.25,58.38,1.61,28.18,39.77,50.92,0.0,5777.33,17240.33
Belize,85.6,148.3,27.6,2.2,27.6,26.3,246.9,98.7,Yes,Yes,No,No,No,397.62,6895.51,22.64,53.16,3.52,22.9,37.76,51.13,0.0,57.33,150.0
Bolivia (Plurinational State of),86.6,112.1,11.3,11.6,29.4,13.9,212.6,99.5,Yes,Yes,Yes,No,No,11673.03,7941.24,18.83,54.45,1.6,18.29,0.0,0.0,0.0,1633.5,5077.33
Brazil,85.0,93.4,82.1,0.2,6.1,28.9,283.2,75.2,Yes,Yes,Yes,No,Yes,212559.41,15036.48,20.7,54.92,2.94,24.08,45.34,49.88,0.01,35094.17,111070.5
Barbados,129.5,143.2,6.9,8.7,89.9,45.8,173.5,64.8,No,Yes,No,No,No,287.37,15013.58,21.59,50.67,3.64,24.4,47.72,46.7,0.0,107.67,256.83
Brunei Darussalam,82.9,163.0,34.3,4.2,0.1,75.4,79.8,90.8,No,Yes,No,No,No,437.48,62848.43,12.84,39.14,6.69,19.33,0.0,0.0,0.0,45.0,150.67
Bhutan,97.8,297.6,70.7,6.6,45.4,24.5,126.5,17.9,No,No,No,No,No,771.61,10188.37,5.83,25.52,11.71,28.08,0.0,0.0,0.0,32.5,228.83
Botswana,50.9,112.0,19.0,39.7,71.2,24.2,125.2,25.0,No,No,No,No,No,2351.63,15368.49,17.76,41.7,9.66,29.74,29.8,64.21,0.0,383.5,1018.67
Central African Republic,99.0,104.7,37.7,7.9,48.3,38.5,36.3,80.0,Yes,No,No,No,No,4829.76,960.74,6.6,24.44,15.4,31.15,34.2,61.71,0.0,299.0,1491.0
Canada,136.1,131.6,18.9,17.3,59.4,17.3,532.6,46.4,Yes,No,Yes,Yes,Yes,37742.16,47763.47,27.96,62.93,1.33,13.9,36.54,53.05,0.0,9493.0,23472.67
Switzerland,138.0,115.2,2.7,6.9,44.6,40.3,490.6,49.3,No,No,Yes,Yes,Yes,8654.62,69357.23,18.55,53.35,2.19,18.54,49.98,43.28,0.0,1373.17,5532.0
Chile,108.5,140.2,12.9,17.9,40.2,16.6,388.2,18.6,Yes,Yes,Yes,Yes,Yes,19116.21,23290.36,26.7,61.77,0.8,21.62,59.79,34.01,0.0,3322.0,8517.5
China,89.4,306.1,15.2,9.4,6.8,37.9,62.9,105.0,Yes,No,Yes,No,No,1439323.77,13395.27,5.42,30.36,5.71,19.52,58.64,36.1,0.02,97057.33,898305.67
CÃ´te dâ€™Ivoire,60.7,92.8,4.6,9.6,36.6,53.1,54.1,13.6,Yes,Yes,No,No,No,26378.28,4435.71,9.5,30.33,8.34,27.75,0.0,0.0,0.0,1096.5,5324.5
Cameroon,83.3,125.0,30.1,14.9,68.4,41.1,62.9,13.0,Yes,No,No,No,No,26545.86,3431.3,10.28,31.81,7.21,25.36,11.88,85.36,0.0,1534.33,5598.5
Democratic Republic of the Congo,94.5,212.6,30.8,26.0,12.2,43.7,52.0,12.1,Yes,No,No,No response,No response,89561.4,1033.74,5.9,23.53,16.56,28.54,0.0,0.0,0.0,2693.33,16502.67
Congo,89.7,141.6,22.6,9.9,71.6,71.4,95.3,22.4,Yes,No,No,No,No,5518.09,5347.27,8.68,29.3,13.64,26.59,25.66,71.76,0.0,345.67,1502.33
Colombia,100.5,96.5,25.8,45.1,29.2,40.4,169.3,93.5,Yes,No,Yes,Yes,Yes,50882.88,14244.26,20.91,57.48,2.4,19.69,41.03,56.32,0.0,6145.0,21495.67
Comoros,85.3,97.0,9.6,7.9,36.2,56.1,87.2,24.6,No,No,No,No,No,869.6,2939.72,7.01,25.67,10.66,27.59,0.0,0.0,0.0,39.33,247.17
Cabo Verde,237.2,194.8,31.0,15.0,63.5,26.4,98.3,21.5,Yes,No,No,No,No,555.99,6387.39,10.6,32.77,8.31,29.98,39.62,54.14,0.0,58.0,195.83
Costa Rica,130.8,166.4,28.2,8.6,36.9,73.5,309.4,73.1,Yes,Yes,Yes,No,Yes,5094.11,18825.13,23.94,59.61,1.96,19.22,35.0,58.2,0.01,677.0,1871.0
Cuba,130.5,115.2,26.3,0.3,35.2,10.0,289.1,132.7,No,No,No,No,No,11326.62,,23.38,57.04,4.72,19.48,48.58,47.06,0.0,3080.5,11245.33
Cyprus,59.4,118.5,30.9,4.5,112.8,22.6,514.5,67.5,No,No,No,Yes,Yes,1207.36,37016.34,20.88,58.01,1.24,20.4,40.04,55.65,0.0,241.17,744.33
Czechia,74.1,105.6,12.5,3.0,35.4,23.3,465.4,65.4,No,No,Yes,Yes,Yes,10708.98,37179.01,25.01,61.36,1.04,28.32,40.64,48.39,0.0,4665.83,15289.33
Germany,140.8,193.2,5.3,3.2,75.5,17.8,481.5,50.3,No,No,Yes,Yes,Yes,83783.95,51957.24,21.24,55.78,1.21,20.95,45.28,42.69,0.0,28931.0,82115.33
Djibouti,146.2,106.4,198.9,0.1,79.7,35.1,80.3,16.1,No,No,No,No,No,988.0,4754.27,12.7,37.34,8.39,27.4,20.82,76.27,0.0,79.33,255.83
Dominica,106.2,103.1,30.5,4.4,30.3,17.4,273.4,27.0,No,Yes,No,No,No,,12301.5,26.29,58.56,3.18,23.08,50.04,43.07,0.0,25.83,61.33
Denmark,90.2,121.0,23.2,8.2,44.7,36.3,563.9,55.7,Yes,No,Yes,Yes,Yes,5792.2,54412.58,18.68,54.52,2.01,21.78,56.58,26.98,0.0,1143.33,4520.17
Dominican Republic,142.8,103.5,45.6,1.4,16.5,15.9,194.8,51.8,Yes,No,No,No,No,10847.9,16355.22,25.62,58.9,3.46,22.14,28.33,68.85,0.0,2724.33,7173.33
Algeria,79.5,195.1,19.0,5.6,26.7,24.0,465.2,36.6,Yes,No,No,No,No,43851.04,11307.17,25.69,60.12,3.89,25.74,27.93,70.05,0.0,7062.5,20118.17
Ecuador,26.0,108.6,15.3,2.7,30.7,19.2,152.7,55.2,Yes,Yes,Yes,No,Yes,17643.06,11377.44,18.66,54.49,1.29,18.17,37.13,57.73,0.0,1914.83,6835.33
Egypt,88.4,147.7,8.9,2.0,22.1,14.3,134.7,29.9,Yes,No,Yes,No,No,102334.4,11289.99,30.18,61.73,1.57,25.2,28.56,66.76,0.0,26922.17,62630.33
Eritrea,57.3,69.3,28.3,10.1,36.8,52.7,76.9,21.5,No,No,No,No,No,3546.43,1734.32,4.25,20.24,17.96,28.66,0.0,0.0,0.0,165.33,1498.17
Spain,64.3,103.4,21.0,8.4,22.0,66.0,732.7,56.9,No,Yes,Yes,Yes,Yes,46754.78,37820.66,22.79,60.59,1.0,20.11,36.59,60.13,0.0,12797.33,38633.0
Estonia,105.2,293.3,6.0,8.1,107.4,30.2,1557.0,79.2,No,No,Yes,Yes,Yes,1326.54,32701.75,20.31,54.88,1.6,28.13,59.9,30.19,0.0,528.83,1613.67
Ethiopia,38.6,88.8,34.5,1.7,177.1,4.9,81.3,10.6,Yes,Yes,No,No,No,114963.58,2155.71,3.88,19.48,16.34,29.88,20.9,74.03,0.0,1589.17,15851.5
Finland,150.2,125.0,6.1,3.0,57.2,38.5,750.7,65.3,No,Yes,Yes,Yes,Yes,5540.72,46830.52,21.19,56.97,1.02,20.25,67.08,25.35,0.0,1765.0,5907.0
Fiji,109.3,210.4,29.0,4.4,49.4,37.3,79.6,21.0,Yes,Yes,Yes,No,No,896.44,12160.48,28.64,62.26,2.02,21.78,32.41,58.78,0.0,557.5,904.67
France,150.8,155.4,13.4,2.4,33.4,30.2,671.1,46.1,No,Yes,Yes,Yes,Yes,65273.51,45508.06,20.6,58.48,1.85,23.17,51.32,38.59,0.0,11440.17,42019.5
Micronesia (Federated States of),145.4,138.3,27.9,2.9,34.3,59.3,54.1,27.9,,No,No,No,No,115.02,3224.99,43.97,74.61,0.99,24.55,0.0,0.0,0.0,69.5,104.67
Gabon,69.9,122.2,2.6,20.2,50.2,31.8,82.6,32.4,Yes,No,No,No,No,2225.73,15351.56,14.03,38.67,9.27,26.04,37.79,59.83,0.0,174.83,632.17
United Kingdom of Great Britain and Northern Ireland,91.3,117.4,40.3,5.4,46.2,28.7,671.7,42.7,No,Yes,Yes,Yes,Yes,67886.0,44411.38,26.26,62.48,1.25,16.2,0.0,0.0,0.0,16934.5,52769.0
Georgia,71.8,87.7,34.5,6.3,43.5,56.9,863.8,15.3,Yes,No,Yes,No,Yes,3989.18,13036.32,19.93,52.36,2.72,26.26,43.3,46.19,0.0,1833.67,6749.17
Ghana,87.9,137.4,19.5,29.3,11.0,90.4,39.3,14.6,Yes,No,No,No,No,31072.95,5038.96,9.68,30.01,9.19,24.3,14.57,81.04,0.0,2338.33,8877.67
Guinea,22.0,20.2,3.2,10.6,40.1,16.5,43.2,13.8,Yes,No,No,No,No,13132.79,2142.67,6.82,25.03,11.32,30.2,11.39,86.43,0.0,537.83,3770.67
Gambia,30.7,48.1,7.0,12.0,62.3,38.5,26.9,6.6,Yes,Yes,No,No,No,2416.66,2118.21,9.26,30.03,10.44,29.66,11.83,87.67,0.0,108.33,614.0
Guinea-Bissau,67.6,138.1,90.9,12.6,18.3,17.4,76.6,19.6,Yes,No,No,No,No,1968.0,2185.82,8.38,28.03,10.14,30.54,21.04,77.78,0.0,113.83,484.0
Equatorial Guinea,91.0,147.3,36.8,11.4,39.2,54.2,70.7,21.9,No,No,No,No,No,1402.99,25939.81,7.46,25.76,13.77,28.48,0.0,0.0,0.0,43.67,213.33
Greece,77.0,91.3,13.9,7.4,34.3,30.6,530.1,78.5,No,No,Yes,Yes,Yes,10423.06,28553.07,23.75,61.17,0.85,19.76,34.11,63.01,0.0,3924.5,13378.83
Grenada,121.5,252.3,28.5,0.0,23.1,24.8,170.3,27.0,No,No,No,No,No,112.52,14961.62,19.8,49.55,4.2,24.22,43.67,51.78,0.0,29.17,65.67
Guatemala,75.6,92.4,46.1,2.6,23.0,6.0,185.7,57.3,Yes,Yes,Yes,No,No,17915.57,7768.62,19.35,53.93,1.93,21.39,29.12,68.31,0.0,2060.5,6004.17
Guyana,202.8,145.1,21.4,8.3,4.8,43.4,233.2,47.9,No,No,No,No,No,786.56,13156.91,18.4,47.21,5.22,22.86,44.48,51.35,0.0,241.5,624.5
Honduras,88.8,29.5,41.1,4.6,25.0,12.2,171.9,30.2,Yes,Yes,No,No,No,9904.61,5303.51,19.74,53.8,2.68,21.63,30.76,65.96,0.0,1152.5,4086.5
Croatia,59.5,480.8,8.2,8.9,58.1,39.0,660.0,251.5,Yes,No,Yes,Yes,Yes,4105.27,25822.16,23.08,58.29,1.26,32.4,51.3,38.08,0.0,1875.0,7129.83
Haiti,70.0,80.1,26.8,5.2,25.7,20.2,89.8,17.8,Yes,No,No,No,No,11402.53,2980.85,20.37,52.07,4.62,24.91,22.54,74.59,0.02,2312.0,6271.67
Hungary,60.0,62.1,16.2,1.6,44.7,11.9,426.0,22.3,Yes,Yes,Yes,Yes,Yes,9660.35,28920.17,25.17,60.42,1.72,30.82,45.69,40.91,0.0,5254.17,16544.33
Indonesia,67.0,160.5,27.5,5.1,29.6,56.7,53.6,23.9,Yes,No,No,No,No,273523.62,10582.93,5.97,26.09,13.75,24.01,17.63,80.14,0.06,16959.83,133066.33
India,35.8,167.8,24.9,3.2,121.8,9.6,107.8,3.5,Yes,Yes,Yes,Yes,Yes,1380004.39,5682.67,3.43,18.32,24.57,25.61,24.62,66.6,0.0,41893.33,582233.67
Ireland,78.4,116.6,22.3,12.9,18.9,13.2,1004.9,40.8,No,Yes,Yes,Yes,Yes,4937.8,73004.94,23.71,59.23,0.99,20.74,45.69,43.75,0.0,942.17,3122.0
Iran (Islamic Republic of),168.6,227.3,15.4,7.0,51.6,8.7,259.7,16.2,Yes,Yes,Yes,Yes,Yes,83992.95,13108.11,24.23,59.81,3.92,20.51,27.82,65.19,0.0,11657.5,30157.17
Iraq,102.9,116.0,36.2,12.7,9.4,26.4,396.7,67.2,No,No,Yes,Yes,Don't know,40222.5,10388.29,28.73,63.08,2.41,25.59,18.46,76.72,0.0,8332.17,20014.67
Iceland,76.1,69.3,5.4,1.4,74.6,46.7,770.8,58.3,No,No,Yes,Yes,Yes,341.25,53502.34,20.86,58.16,1.17,20.46,61.77,29.17,0.0,54.5,200.17
Israel,133.9,83.3,70.6,27.8,52.9,127.5,1094.2,132.1,No,No,Yes,Yes,Yes,8655.54,38209.61,25.25,63.54,1.0,17.58,30.34,67.14,0.0,1432.0,4151.83
Italy,199.4,149.4,13.8,3.3,9.2,61.4,322.6,53.4,Yes,No,Yes,Yes,Yes,60461.83,41362.7,19.06,57.43,1.17,22.27,38.35,55.86,0.0,16569.83,55179.0
Jamaica,176.7,148.9,11.4,3.1,22.0,46.6,251.1,12.2,No,No,Yes,Yes,No,2961.16,10087.28,22.87,53.46,4.36,22.15,40.0,51.42,0.0,761.17,1685.33
Jordan,171.1,117.1,25.9,10.5,23.9,54.0,327.1,55.5,Yes,No,Yes,No,Yes,10203.14,10300.67,34.13,68.29,1.31,21.68,22.65,74.4,0.0,1372.33,2892.0
Japan,108.9,282.7,58.9,2.4,6.1,50.2,187.9,90.2,No,No,Yes,No,No,126476.46,40271.79,3.85,26.19,6.88,18.14,36.99,59.69,0.0,3319.0,78483.67
Kazakhstan,59.1,157.0,6.7,75.0,37.1,33.0,628.6,103.2,Yes,No,Yes,Yes,Yes,18776.71,24303.8,19.46,51.96,2.99,27.17,43.8,51.65,0.0,4373.17,15184.67
Kenya,105.0,246.9,28.0,0.6,12.7,10.8,112.5,14.7,Yes,Yes,No,No,Yes,53771.3,4564.6,6.23,23.76,12.39,26.45,33.6,63.93,0.0,1549.0,7962.17
Kyrgyzstan,74.9,38.1,6.2,37.5,46.6,1.8,173.7,42.5,Yes,No,No,Yes,Yes,6524.19,4817.17,15.01,46.37,3.35,26.52,54.8,38.55,0.0,1068.0,4034.0
Cambodia,49.0,117.9,3.8,1.5,16.4,71.0,25.1,24.8,Yes,No,No,No,No,16718.97,3844.53,3.26,19.91,14.3,25.69,36.8,60.91,0.0,530.17,6689.67
Kiribati,98.0,87.9,29.2,3.2,35.7,60.7,58.6,28.9,Yes,Yes,No,No,No,119.45,1966.09,44.38,77.69,0.82,21.46,20.39,78.41,0.0,77.67,120.5
Saint Kitts and Nevis,,,,,,,,,No,Yes,No,No,No,,24129.12,21.16,50.33,3.56,25.35,43.86,50.7,0.0,,
Republic of Korea,96.4,138.2,27.7,1.5,16.5,21.6,181.7,42.0,No,No,Yes,No,Yes,51269.18,39798.97,4.3,29.33,4.49,11.92,0.0,0.0,0.0,1217.17,19882.33
